case_id,opened_at,trigger_type,trigger_text,flagged_txn_id,card_id,customer_id,risk_score,original_flagged_txn_id,original_card_id,mapping_method,mapping_confidence,is_officially_supported
HHG-001,2016-12-05 01:55:28,risk_score,"Real-time model scored transaction 3514030 ($77.07, in billing region 444.0) at 0.61. Review and decide.",5298,4602925468627288,C12382,0.61,3514030,C12382-K1,DEMO_MAPPING,0%,False
HHG-002,2016-11-22 23:27:07,risk_score,"Real-time model scored transaction 3478782 ($292.36, online) at 0.79. Review and decide.",5127,4276346019153057349,C11891,0.79,3478782,C11891-K1,DEMO_MAPPING,0%,False
HHG-003,2016-12-10 15:01:21,customer_report,Customer C08623 message: 'I never made this $49.00 purchase. Please check my card.' Refers to 3530164.,5020,4276346019153057349,C08623,,3530164,C08623-K2,DEMO_MAPPING,0%,False
HHG-004,2016-12-29 07:53:54,customer_report,Customer C08106 message: 'I never made this $128.33 purchase. Please check my card.' Refers to 3583227.,4966,4276346019153057349,C08106,,3583227,C08106-K1,DEMO_MAPPING,0%,False
HHG-005,2016-12-08 03:38:37,risk_score,"Real-time model scored transaction 3523199 ($100.07, online) at 0.54. Review and decide.",4947,4276346019153057349,C02923,0.54,3523199,C02923-K1,DEMO_MAPPING,0%,False
HHG-006,2016-11-22 02:30:00,customer_report,Customer C07297 message: 'I never made this $482.12 purchase. Please check my card.' Refers to 3476682.,4938,4276346019153057349,C07297,,3476682,C07297-K1,DEMO_MAPPING,0%,False
HHG-007,2016-12-05 03:46:14,risk_score,"Real-time model scored transaction 3514948 ($111.92, in billing region 264.0) at 0.87. Review and decide.",4808,4276346019153057349,C09933,0.87,3514948,C09933-K2,DEMO_MAPPING,0%,False
HHG-008,2016-12-20 03:08:56,customer_report,Customer C13171 message: 'I never made this $55.68 purchase. Please check my card.' Refers to 3558054.,4785,4276346019153057349,C13171,,3558054,C13171-K2,DEMO_MAPPING,0%,False
HHG-009,2016-12-28 17:10:53,customer_report,Customer C08299 message: 'I never made this $30.02 purchase. Please check my card.' Refers to 3581141.,4752,4276346019153057349,C08299,,3581141,C08299-K1,DEMO_MAPPING,0%,False
HHG-010,2016-12-02 18:18:27,risk_score,"Real-time model scored transaction 3506725 ($1,000.03, online) at 0.90. Review and decide.",4741,4276346019153057349,C10434,0.9,3506725,C10434-K1,DEMO_MAPPING,0%,False
HHG-011,2016-12-29 06:27:44,customer_report,Customer C11923 message: 'I never made this $131.30 purchase. Please check my card.' Refers to 3583368.,4679,4276346019153057349,C11923,,3583368,C11923-K2,DEMO_MAPPING,0%,False
HHG-012,2016-12-18 05:00:31,risk_score,"Real-time model scored transaction 3553342 ($30.91, in billing region 494.0) at 0.55. Review and decide.",4576,4276346019153057349,C05876,0.55,3553342,C05876-K2,DEMO_MAPPING,0%,False
HHG-013,2016-12-09 05:39:29,risk_score,"Real-time model scored transaction 3526826 ($35.66, online) at 0.76. Review and decide.",4554,4276346019153057349,C07671,0.76,3526826,C07671-K2,DEMO_MAPPING,0%,False
HHG-014,2016-11-22 20:11:00,analyst_request,Analyst request: several cards this month show purchases from the same unusual device profile. Review transaction 3478561 on card C13487-K1 and look for related activity.,4548,4276346019153057349,C13487,,3478561,C13487-K1,DEMO_MAPPING,0%,False
HHG-015,2016-11-17 19:03:36,risk_score,"Real-time model scored transaction 3464869 ($599.94, online) at 0.77. Review and decide.",4508,4276346019153057349,C03042,0.77,3464869,C03042-K1,DEMO_MAPPING,0%,False
HHG-016,2016-12-12 01:39:08,customer_report,Customer C09988 message: 'I never made this $59.67 purchase. Please check my card.' Refers to 3534820.,4436,4276346019153057349,C09988,,3534820,C09988-K1,DEMO_MAPPING,0%,False
HHG-017,2016-11-12 00:46:24,risk_score,"Real-time model scored transaction 3450629 ($100.09, online) at 0.57. Review and decide.",4398,4276346019153057349,C04570,0.57,3450629,C04570-K1,DEMO_MAPPING,0%,False
HHG-018,2016-11-27 14:41:26,customer_report,Customer C02354 message: 'I never made this $39.08 purchase. Please check my card.' Refers to 3491361.,4371,4276346019153057349,C02354,,3491361,C02354-K2,DEMO_MAPPING,0%,False
HHG-019,2016-12-01 22:28:53,risk_score,"Real-time model scored transaction 3503878 ($99.92, online) at 0.90. Review and decide.",4340,4276346019153057349,C07987,0.9,3503878,C07987-K2,DEMO_MAPPING,0%,False
HHG-020,2016-12-03 12:04:26,risk_score,"Real-time model scored transaction 3509359 ($125.08, online) at 0.52. Review and decide.",4306,4276346019153057349,C12265,0.52,3509359,C12265-K2,DEMO_MAPPING,0%,False
